id,question,correct_verdict,required_citations,required_sender_role,required_receiver_role,required_phi_category,required_reasoning_keywords,notes
R01,Can a hospital share a patient's diagnosis with their treating physician at another clinic?,PERMITTED,164.506,covered-entity,covered-entity,diagnosis,treatment,Treatment disclosure between providers — §164.506(c)(2) permitting treatment ops
R02,Can a health plan disclose billing records to a collection agency?,PERMITTED,164.502,covered-entity,business-associate,billing-records,payment business associate,BA relationship required; payment operations — §164.502(e)/§164.504
R03,Can a hospital release patient records in response to a court order?,PERMITTED,164.512,covered-entity,law-enforcement,medical-record,court order law enforcement,§164.512(e)(1) — court order subpoena exception
R04,Can a patient request a copy of their own medical records from their hospital?,PERMITTED,164.524,patient,covered-entity,medical-record,access right designated record set,§164.524 patient access right
R05,Can a pharmacy share a customer's prescription history with a marketing company without authorization?,DENIED,164.508,covered-entity,third-party,prescription,authorization marketing,Marketing requires written authorization — §164.508; no authorization = DENIED
R06,Can a covered entity share mental health records with an employer for a fitness-for-duty evaluation?,DENIED,164.508,covered-entity,employer,mental-health,authorization employment,Non-treatment purpose; employer is not a covered entity; authorization required
R07,Can a hospital share patient identifiers with the public health department to track a disease outbreak?,PERMITTED,164.512,covered-entity,public-health-authority,diagnosis,public health authority,§164.512(b) public health exception — disease tracking
R08,Can a researcher access patient records without individual authorization if an IRB has granted a waiver?,PERMITTED,"164.512,164.512(i)",covered-entity,researcher,medical-record,IRB waiver research,§164.512(i) research exception with IRB waiver of authorization
R09,Can a hospital disclose a patient's HIV status to their spouse without authorization?,DENIED,164.508,covered-entity,individual,diagnosis,authorization minimum necessary,HIV status is highly sensitive PHI; no exception applies without authorization
R10,Can a covered entity disclose PHI to a business associate for claims processing?,PERMITTED,"164.502,164.504",covered-entity,business-associate,billing-records,business associate agreement payment,BA agreement required; payment ops permitted under §164.502(e)
R11,Can a psychiatrist disclose therapy notes to the patient's insurance company?,DENIED,164.508,covered-entity,health-plan,mental-health,psychotherapy notes authorization,Psychotherapy notes require explicit authorization — §164.508(a)(2); distinct from general medical records
R12,Can a hospital share a gunshot wound patient's record with police?,PERMITTED,164.512,covered-entity,law-enforcement,medical-record,law enforcement required by law,§164.512(f)(1) — reporting required by law (mandatory reporting statutes)
R13,Can a covered entity disclose PHI to a coroner to identify a deceased patient?,PERMITTED,164.512,covered-entity,coroner,medical-record,death coroner decedent,§164.512(g)(1) — disclosure to coroner/medical examiner
R14,Can a health plan disclose member data to a cloud storage vendor for archiving?,PERMITTED,"164.502,164.504",covered-entity,business-associate,medical-record,business associate operations,Storage vendor = BA; BA agreement required; §164.502(e)
R15,Can a hospital share a minor patient's records with the patient's divorced parent?,PERMITTED,164.502,covered-entity,individual,medical-record,personal representative guardian parent,§164.502(g) — parent as personal representative of unemancipated minor (default)
R16,Can a covered entity use patient data for internal staff training without authorization?,PERMITTED,164.506,covered-entity,individual,medical-record,healthcare operations training,§164.506(c)(1) — healthcare operations include training of staff
R17,Can a covered entity share PHI with a disaster relief organization during a declared emergency?,PERMITTED,"164.512,164.510",covered-entity,public-health-authority,medical-record,disaster relief emergency,§164.512(b)(ii) — disaster relief / public health authority emergency exception
R18,Can a hospital share a patient's address and diagnosis with a debt collector?,DENIED,164.508,covered-entity,third-party,diagnosis,authorization minimum necessary,Debt collection is not a permitted payment ops pathway without authorization
R19,Can a covered entity disclose de-identified patient data to researchers?,PERMITTED,164.514,covered-entity,researcher,medical-record,de-identified no PHI safe harbor,§164.514(b) — de-identified data is not PHI; HIPAA does not restrict
R20,Can a clinic share a patient's records with the Secretary of HHS during a compliance investigation?,PERMITTED,164.502,covered-entity,secretary,medical-record,secretary investigation oversight,§164.502(a)(2)(ii) — disclosure to the Secretary for oversight/enforcement
