id,question,topic,complexity,answer,regulation,cross_references,explanation,PIPELINE Testing,AGENTIC,RAG,Baseline
1,Can I get a copy of all my medical records from last year?,Patient Access,basic,Yes,CFR § 164.524,no,"In general, you have a right to inspect and obtain a copy of your PHI in a designated record set (with limited exceptions such as Unreviewable grounds for denial (45 CFR 164.524(a)(2)) and Reviewable grounds for denial (45 CFR 164.524(a)(3))).",PASSED,PASSED,,
2,Can I see my lab results before my doctor reviews them?,Patient Access,basic,Yes,CFR § 164.524,,"Individuals have a right to access PHI in a ""designated record set.""   with limited exceptions such as Unreviewable grounds for denial (45 CFR 164.524(a)(2)) and Reviewable grounds for denial (45 CFR 164.524(a)(3))).",PASSED,PASSED,,
3,Can I ask for my medical records to be sent to another doctor?,Patient Access,basic,Yes,"CFR § 164.524, 45 CFR 164.524(c)(3)",,"Individuals have the right to direct the covered entity to transmit the PHI about the individual directly to another person or entity designated by the individual. The request must be in writing and signed by the individual, clearly identify the designated person and where to send the PHI. Covered Entity can accept an electronic copy of the request and electronically executed request that has an electronic signature. Requirements for providing PHI to the individual also applies. ",PASSED,PASSED,,
4,Can I access my records through the patient portal even if I moved?,Patient Access,basic,Yes,CFR § 164.524,,CFR § 164.524(b)(1) states that the covered entity must permit the individual access to inspect or obtain copy of the individual's PHI that is maintained in the designated record set,PASSED,PASSED,,
5,Can I get my records if I still owe the hospital money?,Patient Access,intermediate,Yes,"CFR § 164.524, 45 CFR 164.524(a)(2), 45 CFR 164.524(a)(3)",,"Individual's right to access are not contingent on paying a bill. A provider can charge a permitted cost-based fee (CFR 164.524(4)), but the right of access still applies.",PASSED,PASSED,,
6,Can I request corrections if something in my chart is wrong?,Patient Access,intermediate,Yes,CFR § 164.526,,Individual have the right to have a covered entity to amend PHI or a record of the individual in a designated record set. The covered entity would need to act on the request and may accept or deny the amendment with required steps. ,PASSED,PASSED,,
7,Can I ask for a list of who has accessed my medical records?,Patient Access,advanced,Yes,CFR § 164.528,,"Individual has the right to receive an accounting of disclosures of the PHI made by a covered entity in the six years prior to the date on which the account is requested, but it does not include routine disclosures such as treatment, payment, and health care operations.",PASSED,PASSED,,
8,Can I get my records in electronic form instead of paper?,Patient Access,basic,Yes,CFR § 164.524(c)(2),,"The covered entity must provide the individual with access to the protected health information in the form and format requested by the individual, if it is readily producible in such form and format; or, if not, in a readable hard copy form or such other form and format as agreed to by the covered entity and the individual.",PASSED,PASSED,,
9,Can I request records for treatment I received as a minor?,Patient Access,advanced,Yes,45 CFR §164.524(a); §164.502(g),,"As an adult, the individual has the right to access health records they have as a minor, however it depends on the state the individual resides in as pediatric record may only be retained for a certain amount of time. ",PASSED,PASSED,,
10,Can I limit which parts of my medical record are shared?,Patient Access,advanced,Yes,45 CFR §164.522(a),,"An individual should be permitted to request the covered entity to restrict uses or disclosures of PHI about the individual to carry out treatment, payment, or health care operations and disclosures permitted under 164.510(b). However, covered entity is not required to agree to the restriction with 164.522(a)(1)(vi).",PASSED,PASSED,,
11,Can my spouse see my lab results without me being there?,Family and Partners,basic,No,"45 CFR §164.510(a), 45 CFR §164.510(b)",,"Covered entity would need to orally inform the individual of and obtain individual's oral aggreement or objection to a use or disclosure. If the individual is not present, or the opportunity to agree or object to the use or disclosure cannot practicably be provided because of the individual's incapacity or an emergency circumstance, the covered entity may, in the exercise of professional judgment, determine whether the disclosure is in the best interests of the individual and, if so, disclose only the protected health information that is directly relevant to the person's involvement with the individual's care or payment related to the individual's health care or needed for notification purposes",Passed - Violation,Passed - Violation,,
12,Can my girlfriend access my medical information if I give verbal permission?,Family and Partners,intermediate,Yes,45 CFR §164.510(b),,"A covered entity may, in accordance with paragraphs (b)(2), (b)(3), or (b)(5) of this section, disclose to a family member, other relative, or a close personal friend of the individual, or any other person identified by the individual, the protected health information directly relevant to such person's involvement with the individual's health care or payment related to the individual's health care.",PASSED,PASSED,,
13,Can my parents see my medical records if I’m over 18?,Family and Partners,basic,No,45 CFR §164.502(g),,"Not unless they are your personal representative (e.g., power of attorney for health care) or you give permission consistent with HIPAA.",Passed - Violation,Passed - Violation,,
14,Can my brother get updates about my condition while I’m in the hospital?,Family and Partners,intermediate,Yes,45 CFR 164.510,,"the covered entity may, in the exercise of professional judgment, determine whether the disclosure is in the best interests of the individual and, if so, disclose only the protected health information that is directly relevant to the person's involvement with the individual's care or payment related to the individual's health care or needed for notification purposes. In addition, if the opportunity to object to uses or disclosures required by paragraph (a)(2) of this section cannot practicably be provided because of the individual's incapacity or an emergency treatment circumstance, a covered health care provider may use or disclose some or all of the protected health information permitted by paragraph (a)(1) of this section for the facility's directory, if such disclosure is:

(A) Consistent with a prior expressed preference of the individual, if any, that is known to the covered health care provider; and

(B) In the individual's best interest as determined by the covered health care provider, in the exercise of professional judgment.",PASSED,PASSED,,
15,Can my family pick up prescriptions for me?,Family and Partners,basic,Yes,45 CFR 164.510(b),,"Yes. A pharmacist may use professional judgment and experience with common practice to make reasonable inferences of the patient’s best interest in allowing a person, other that the patient, to pick up a prescription.",PASSED,PASSED,,
16,Can a hospital talk to my family if I’m unconscious?,Family and Partners,intermediate,Yes,45 CFR 164.510(b),,"Even when the patient is not present or it is impracticable because of emergency circumstances or the patient’s incapacity for the covered entity to ask the patient about discussing her care or payment with a family member or other person, a covered entity may share this information with the person when, in exercising professional judgment, it determines that doing so would be in the best interest of the patient.",PASSED,PASSED,,
